Date,EPS,PE,
10-12-2015,5,22.32,DLF
11-12-2015,5,21.64,DLF
14-12-2015,5,21.42,DLF
15-12-2015,5,21.68,DLF
16-12-2015,5,22.59,DLF
17-12-2015,5,23.06,DLF
18-12-2015,5,22.92,DLF
21-12-2015,5,23.22,DLF
22-12-2015,5,22.68,DLF
23-12-2015,5,23.22,DLF
24-12-2015,5,22.86,DLF
28-12-2015,5,23,DLF
29-12-2015,5,22.76,DLF
30-12-2015,5,22.79,DLF
31-12-2015,2.24,51.88,DLF
01-01-2016,2.24,54.31,DLF
04-01-2016,2.24,52.86,DLF
05-01-2016,2.24,52.97,DLF
06-01-2016,2.24,51.25,DLF
07-01-2016,2.24,47.83,DLF
08-01-2016,2.24,50.11,DLF
11-01-2016,2.24,50.09,DLF
12-01-2016,2.24,49.01,DLF
13-01-2016,2.24,49.24,DLF
14-01-2016,2.24,47.32,DLF
15-01-2016,2.24,44.57,DLF
18-01-2016,2.24,43,DLF
19-01-2016,2.24,42.96,DLF
20-01-2016,2.24,41.26,DLF
21-01-2016,2.24,40.97,DLF
22-01-2016,2.24,42.29,DLF
25-01-2016,2.24,41.84,DLF
27-01-2016,2.24,42.78,DLF
28-01-2016,2.24,42.31,DLF
29-01-2016,2.24,43.11,DLF
01-02-2016,2.24,43.27,DLF
02-02-2016,2.24,41.75,DLF
03-02-2016,2.24,41.82,DLF
04-02-2016,2.24,42.29,DLF
05-02-2016,2.24,42.87,DLF
08-02-2016,2.24,43.18,DLF
09-02-2016,2.24,42.73,DLF
10-02-2016,2.24,40.45,DLF
11-02-2016,2.24,36.36,DLF
12-02-2016,2.24,36.09,DLF
15-02-2016,2.24,40.05,DLF
16-02-2016,2.24,38.42,DLF
17-02-2016,2.24,39.58,DLF
18-02-2016,2.24,38.77,DLF
19-02-2016,2.24,39.45,DLF
22-02-2016,2.24,39.83,DLF
23-02-2016,2.24,38.01,DLF
24-02-2016,2.24,37.97,DLF
25-02-2016,2.24,37.34,DLF
26-02-2016,2.24,39.02,DLF
29-02-2016,2.24,39.83,DLF
01-03-2016,2.24,43.78,DLF
02-03-2016,2.24,48.05,DLF
03-03-2016,2.24,47.45,DLF
04-03-2016,2.24,48.27,DLF
08-03-2016,2.24,47.89,DLF
09-03-2016,2.24,48.06,DLF
10-03-2016,2.24,47.42,DLF
11-03-2016,2.24,47.6,DLF
14-03-2016,2.24,47.19,DLF
15-03-2016,2.24,47.28,DLF
16-03-2016,2.24,47.68,DLF
17-03-2016,2.24,46.99,DLF
18-03-2016,2.24,48,DLF
21-03-2016,2.24,48.85,DLF
22-03-2016,2.24,51.36,DLF
23-03-2016,2.24,51.58,DLF
28-03-2016,2.24,47.67,DLF
29-03-2016,2.24,47.75,DLF
30-03-2016,2.24,51.47,DLF
31-03-2016,5.39,21.27,DLF
01-04-2016,5.39,22.43,DLF
